Date,Price,Asset Manager/Institutional Net position,Dealer Net Position,Not Reportable(Retail) Net position
1/4/2022,4784.25,147489,-91213,8610
1/11/2022,4705,147051,-97328,11174
1/18/2022,4571.25,145536,-109385,13115
1/25/2022,4349,130799,-123074,15185
2/1/2022,4535,129142,-103072,9092
2/8/2022,4512.5,113733,-92407,4965
2/15/2022,4464.5,105043,-81622,1527
2/22/2022,4300,100937,-86898,488
3/1/2022,4303.75,93635,-60268,-1072
3/8/2022,4168.75,84432,-60095,-1337
3/15/2022,4262,89372,-51670,874
3/22/2022,4505,103155,-16208,-1453
3/29/2022,4625.5,111617,-14822,-2898
4/5/2022,4520.25,106436,-21963,1208
4/12/2022,4393,95484,-36927,-292
4/19/2022,4459.25,94755,-30876,-1721
4/26/2022,4170.5,72323,-36167,1167
5/3/2022,4169.25,73938,-20545,1467
5/10/2022,3996.75,55937,-24857,-632
5/17/2022,4084.75,62867,-16168,-3586
5/24/2022,3940.5,57380,-15720,-3701
5/31/2022,4131.25,72690,-16345,-5235
6/7/2022,4158.75,70728,-4288,-7787
6/14/2022,3736.75,39303,882,-1002
6/21/2022,3767.75,37519,15927,-5163
6/28/2022,3825.5,39776,25197,-5355
7/5/2022,3834,41851,27031,-7885
7/12/2022,3823.75,44526,34119,-6882
7/19/2022,3937.5,48581,48310,-11985
7/26/2022,3923.25,58212,43942,-11450
8/2/2022,4093.75,63807,56938,-13795
8/9/2022,4124.5,59324,68038,-14813
8/16/2022,4307.75,75443,72431,-15170
8/23/2022,4130.5,68369,66080,-15127
8/30/2022,3987.5,65752,63571,-16383
9/6/2022,3910.5,54682,67031,-14181
9/13/2022,3931.25,62678,77903,-20196
9/20/2022,3872.75,56510,47851,-19700
9/27/2022,3661,42667,38565,-16620
10/4/2022,3803.25,39751,38746,-7782
10/11/2022,3599.25,35888,42133,-6304
10/18/2022,3732.75,44945,46069,-6881
10/25/2022,3870.25,55898,38818,-6028
11/1/2022,3866,64108,11306,-4879
11/8/2022,3835.25,64020,13705,-4453
11/15/2022,3999.5,84957,7223,-1085
11/22/2022,4010.25,90199,-2737,-1686
11/29/2022,3962,95526,-11488,-1032
12/6/2022,3945,91876,-4905,522
12/13/2022,4055.25,97142,-2165,2706
12/20/2022,3849.25,88225,-37145,-1251
12/27/2022,3855,88753,-29714,-2263
